"v","pipeline","nMax","survivingDigits","baseCoord","peakX","baselineCurrent","Delta_Baseline","peakY","troughVal","FWHM","curvature","Invariant_Q","CosineMean","Cos99"
220,"g0",2000,184,2.1794088308290174199e60,2.1794088308290174199e60,0.96609797305481790665,0.0046690736491597647532,0.9678472795417998,0.96094923062198567935,0.0009720991150337947,-31747.63832151134,0.14530038635337506,0.45878214832535712164,1
240,"g0",2000,178,1.9502106225571139198e66,1.9502106225571139198e66,0.99403717060737046658,0.0041181066578049906505,0.9991107329137764,0.95661982799699349473,0.0033697138484467277,-16056.198737201325,0.5032510054038251,0.40754493378302167959,1
260,"y0",2000,171,2.6127927896501898913e73,2.6127927896501898913e73,0.51150095754968999718,-0.012366624704786722978,0.6894261035413365,0.59090798102311835416,0.004309934234697277,-32192.561111037543,0.5296885886168217,-0.087451418256841033583,3
280,"g0",2000,167,5.3401290757798246254e77,5.3401290757798246254e77,1.0041939574760752398,-0.0030855378698550888303,1.0051173983181338,0.99884762810535447969,0.0019062516875752557,-7922.778561379766,0.22248562526238605,0.60934675676861195973,4
300,"y0",2000,159,4.8522027967075431364e85,4.8522027967075431364e85,0.58015916514795370411,-0.0075492685238681974233,0.6614233368527493,0.65515097475690764927,0.0010425598028653837,-24745.502747811253,0.16396481209658936,-0.26752921301652832697,3
320,"g0",2000,155,1.9596405166827013894e89,1.9596405166827013894e89,1.0779142816694799197,-0.0084725739881479234872,1.0818528960517748,1.0818080812536946125,0,-60591.27676358568,0.47886961177460075,0.87005589336044078587,2
340,"y0",2000,147,2.43023530462065739e97,2.43023530462065739e97,0.57513531623818817527,0.0039027142869451047445,0.689921571771265,0.65054576525171144999,0.0019671955344437997,-54474.39513571028,0.18331388123115525,-0.32444823074748640741,3
340,"g0",2000,149,5.4656145535155508958e95,5.4656145535155508958e95,1.0735707688246793575,-0.0043928127047924260192,1.082081733472345,1.0820550633634511254,0,-30686.40456932549,0.489021145797985,0.88600782229158909089,2
360,"y0",2000,142,1.1379309329848881238e103,1.1379309329848881238e103,0.60712950560438820568,0.00085366824975675086614,0.7002266536146635,0.61019248191770322155,0.003477995585304372,-79288.15658613273,0.18926981081717156,-0.38185523203208048327,5
360,"g0",2000,143,6.2217616942651495304e101,6.2217616942651495304e101,1.0493701958882452212,-0.012562700913954974243,1.0525898069475683,1.0349419745054768841,0.0012870394600100225,-49020.64939390794,0.18861305846526838,0.86717021844206466203,2
380,"y0",2000,136,9.7097219046830251564e108,9.7097219046830251564e108,0.63849325158124491268,0.0072594724780208242329,0.7438749884604476,0.65580502516865954386,0.006385922417276424,-42110.43254531909,0.36837565444834947,-0.31974126611630449187,1
400,"y0",2000,129,2.5131879099337254117e115,2.5131879099337254117e115,0.58418869013656654612,-0.0071171281242050306292,0.6944851482621743,0.65025091166379649466,0.002926448618752353,-20621.76502700781,0.43844669242863643,-0.35310160508280322248,4
440,"y0",2000,118,9.1048462185713087333e126,9.1048462185713087333e126,0.5739252849307605078,0.00018846601097995977903,0.7465869816078339,0.68488255960356439594,0.002932565867183934,-31599.41600592824,0.1536506315066829,-0.29199900015051929072,2
460,"y0",2000,112,3.2269032487604448138e132,3.2269032487604448138e132,0.57408147130511965587,0.0023151287373670807211,0.6918513616401469,0.66665345205168124461,0.003081490339974291,-21531.553652492894,0.37588884130089284,-0.33781933332584910681,2
480,"g0",2000,107,3.8216647451258340014e137,3.8216647451258340014e137,1.0394437617472387153,-0.0011614679346930058176,1.0752418628545148,1.0751772523594782293,0,-72628.96868398803,0.484296389858878,0.99502084165786222514,17
500,"g0",2000,102,7.08030481146474976e142,7.08030481146474976e142,1.094812358253867295,0.010368953568505699239,1.1098125916952728,1.1097744412686745119,0,-60829.91344511088,0.4808536607711954,0.99756953269020118293,19
520,"g0",2000,96,1.1392690426332763335e149,1.1392690426332763335e149,1.0374534393875905457,0.0049234492003122572481,1.0507539809961626,1.0507357441852834693,0,-42130.51035437331,0.4718526387240699,0.99705651646316321036,19
580,"g0",2000,78,8.3694971046527653545e166,8.3694971046527653545e166,1.0696503379967175098,-0.012874092259758471702,1.0706738214305944,1.0706737372934091539,0,-21150.087892399755,7.947111984983464,0.9989277557376977393,20
600,"y0",2000,71,1.0624841350649018815e174,1.0624841350649018815e174,0.61307165441572661968,0.0063089411582376583786,0.7101751913287444,0.7003296678305815039,0.0010419813726394445,-39578.75323786082,0.16278353735262485,-0.33398802409428041061,4
620,"g0",2000,66,6.9257977473424946435e178,6.9257977473424946435e178,1.074448591183080244,-0.0012923865271410791835,1.084352653598024,1.0641879380609218568,0.0016825157595285474,-30788.230231599548,0.19468301578751654,0.99960625256591483218,20
640,"y0",2000,59,7.4815040259844364057e185,7.4815040259844364057e185,0.59120222449117020752,0.0027011311378445887716,0.7301114198780851,0.68931251656795067765,0.001843036759537009,-58280.59413076749,0.2158124072601012,-0.33830143977016109885,5
640,"g0",2000,60,8.3566206024602586978e184,8.3566206024602586978e184,1.0733675268014391736,-0.013947459850831071754,1.0824028711532572,1.082385350481814948,0,-38579.52882248774,0.47677842940043724,0.9998692625538979805,20
660,"y0",2000,52,2.6612947740246524226e192,2.6612947740246524226e192,0.56172685986183274316,0.0086523869300695609605,0.694897484521789,0.66627697565854967584,0.0019829651468401543,-30893.861934912784,0.2241729259816577,-0.33802460596796842418,5
660,"g0",2000,54,2.5593227540291390575e190,2.5593227540291390575e190,1.0742574574835070496,-0.011810090367158264439,1.0866888572263445,1.0866674553952905808,0,-42692.72743285745,0.4682554077231534,0.99992213475977056095,20
700,"y0",2000,41,1.0585287168830704808e204,1.0585287168830704808e204,0.60669569493125123283,0.0089530020822536444819,0.7444304883320001,0.72275798325648915362,0.0019403320671371738,-30794.118545260677,0.24837524172398842,-0.3361814498400128305,4
700,"g0",2000,43,7.7495870864324806629e201,7.7495870864324806629e201,1.0580292881359124881,0.0075592068952515449366,1.0723608231862107,1.0326741637434822574,0.0026789837018516786,-40757.575040832526,0.2541014163044942,0.99994510580516443054,20
720,"g0",2000,36,7.5693218221143803179e208,7.5693218221143803179e208,1.0395837373662881811,-0.00013834770924657723812,1.0807203421896534,1.0806860550610207639,0,-51278.60042439265,0.4817748605641993,0.99994630102531313302,20
