"randomBaseCoord","pipeline","nMax","peakY","troughVal","curvature","Invariant_Q"
9.8897609514031179972e142,"g0",100000,0.5321657322347164,0.52953696908567921892,-350368.0421470679,79.98846040924307
4.4311051956009004898e142,"g0",100000,0.47985865781083703,0.47115120596059323078,-294844.7445565702,0.46238487151152524
1.0504440843186974788e143,"g0",100000,0.48934005037881434,0.48195530440600329946,-382340.2787769512,0.458777031824264
4.7763314003835575574e142,"g0",100000,0.5336818648502231,0.51637962895700615728,-645526.7284327555,0.3012535894777191
8.6077531657266646567e142,"g0",100000,0.5859750080853701,0.56090170164319047816,-699147.5415063984,0.30213946242745315
6.4292809379570025828e142,"g0",100000,0.5070266858674586,0.50133367373861670881,-362628.8083301529,2.183832457001298
4.6683641065525176926e142,"g0",100000,0.4578044884838164,0.45402526854713701943,-257938.5617388679,0.4315712093597275
8.9225593814960982919e142,"g0",100000,0.4873787430115044,0.47011827148548989649,-607975.3866894362,0.44812063251304907
8.9578075480700666636e142,"g0",100000,0.535893501713872,0.50377883599596802957,-778008.602119157,0.15903235785767708
8.7643157769617467215e142,"g0",100000,0.5126836230774643,0.51037851992188686589,-291375.31506354606,6.121111783794917
8.9661578148034581862e142,"g0",100000,0.4941501743160188,0.4799829002875681278,-343878.1237700662,0.28779883277418544
6.829303178196787158e142,"g0",100000,0.49560312496032566,0.48667386059007612893,-219088.02338901875,0.35666383769061377
4.0255371845489077848e142,"g0",100000,0.43116800824645907,0.38349746745950886104,-440619.2577532942,0.15145189641586823
9.0443668171606111102e142,"g0",100000,0.49362934162491,0.47494684504357065276,-617360.6014633154,0.3097307679204609
4.7634717610920837027e142,"g0",100000,0.46356806939002126,0.44698791997230871678,-580766.3609493168,0.2714653589888667
8.4100073943343250737e142,"g0",100000,0.47357671428471804,0.45172882296590795212,-465824.27102634293,0.3069416853223425
7.4773296744526949862e142,"g0",100000,0.5872974121011794,0.57561230358482219951,-820293.617684633,0.5430143786820594
8.4544886006141589644e142,"g0",100000,0.45113900769501925,0.43466600370702289438,-555069.739292592,0.3318152143752769
9.9857057817270304331e142,"g0",100000,0.5252165836282074,0.51638803275701171223,-422271.8381733959,0.5012964992382074
8.879335040200995652e142,"g0",100000,0.4746411144733429,0.46503149028046557664,-457056.21937811474,0.5364986154960232
